"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109"
"Otu0868",1.00224000641434e-05,0.000129038400825846,1.31544000841882e-05,4.6980000300672e-05,6.45192004129229e-05,2.44296001563494e-05,5.01120003207168e-06,6.38928004089139e-05,6.57720004209408e-05,8.14320005211648e-06,9.95976006374246e-05,3.63312002325197e-05,3.31992002124749e-05,2.06712001322957e-05,4.07160002605824e-05,0.00015660000100224,5.38704003447706e-05,4.13424002645914e-05,5.57496003567974e-05,1.37808000881971e-05,6.2640000400896e-07,4.51008002886451e-05,1.25280000801792e-06,2.81880001804032e-05,3.75840002405376e-05,0.000142819200914043,6.2640000400896e-07,5.63760003608064e-06,1.6286400104233e-05,0.000146577600938097,6.89040004409856e-06,1.69128001082419e-05,2.75616001763942e-05,3.75840002405376e-05,4.7606400304681e-05,2.19240001403136e-05,3.38256002164838e-05,6.89040004409856e-06,0.000225504001443226,4.19688002686003e-05,9.58392006133709e-05,4.38480002806272e-06,5.13648003287347e-05,2.25504001443226e-05,7.39152004730573e-05,2.63088001683763e-05,1.69128001082419e-05,6.70248004289587e-05,1.5033600096215e-05,7.26624004650394e-05,2.00448001282867e-05,1.81656001162598e-05,1.00224000641434e-05,1.00224000641434e-05,1.44072000922061e-05,4.38480002806272e-06,8.76960005612544e-06,1.87920001202688e-05,1.87920001202688e-06,5.01120003207168e-06,3.63312002325197e-05,1.87920001202688e-06,3.75840002405376e-06,1.06488000681523e-05,1.69128001082419e-05,4.25952002726093e-05,1.25280000801792e-05,1.25280000801792e-06,1.19016000761702e-05,8.33112005331917e-05,2.31768001483315e-05,3.00672001924301e-05,6.2640000400896e-05,3.50784002245018e-05,0.000123400800789765,2.12976001363046e-05,2.63088001683763e-05,0.000110246400705577,1.37808000881971e-05,2.19240001403136e-05,9.3960000601344e-06,1.06488000681523e-05,5.01120003207168e-06,1.06488000681523e-05,7.51680004810752e-05,2.12976001363046e-05,5.26176003367526e-05,1.87920001202688e-05,2.63088001683763e-05,2.25504001443226e-05,6.2640000400896e-07,2.12976001363046e-05,1.5660000100224e-05,2.81880001804032e-05,1.87920001202688e-05,5.82552003728333e-05,6.2640000400896e-07,9.3960000601344e-06,1.12752000721613e-05,1.87920001202688e-06,6.2640000400896e-06,5.63760003608064e-06,2.50560001603584e-05,5.70024003648154e-05,2.75616001763942e-05,3.44520002204928e-05,3.31992002124749e-05,3.1320000200448e-05,0.000131544000841882
"Otu0869",5.07384003247258e-05,7.95528005091379e-05,3.63312002325197e-05,0.000259329601659709,0.000123400800789765,0.000104608800669496,3.25728002084659e-05,8.83224005652634e-05,0.000102729600657469,2.31768001483315e-05,0.000127159200813819,6.82776004369766e-05,6.2013600396887e-05,0.000152215200974177,4.00896002565734e-05,9.08280005812992e-05,2.12976001363046e-05,7.07832004530125e-05,8.26848005291827e-05,3.0693600196439e-05,3.1320000200448e-06,5.01120003207168e-05,1.44072000922061e-05,9.4586400605353e-05,0.000288770401848131,0.000201700801290885,4.38480002806272e-06,3.57048002285107e-05,7.14096004570214e-05,8.95752005732813e-05,4.07160002605824e-05,6.63984004249498e-05,5.32440003407616e-05,6.13872003928781e-05,0.00010836720069355,5.19912003327437e-05,5.57496003567974e-05,2.12976001363046e-05,0.000139060800889989,4.38480002806272e-05,0.000420314402690012,2.50560001603584e-05,0.000209217601338993,6.01344003848602e-05,6.82776004369766e-05,0.000105235200673505,0.000125906400805801,2.12976001363046e-05,1.69128001082419e-05,0.000195436801250796,8.20584005251738e-05,4.82328003086899e-05,2.31768001483315e-05,1.87920001202688e-05,4.82328003086899e-05,7.51680004810752e-06,1.6286400104233e-05,2.31768001483315e-05,1.00224000641434e-05,9.3960000601344e-06,5.76288003688243e-05,1.06488000681523e-05,1.81656001162598e-05,3.31992002124749e-05,0.000145324800930079,7.70472004931021e-05,2.81880001804032e-05,1.25280000801792e-05,5.38704003447706e-05,0.00018666720119467,0.000176644801130527,4.82328003086899e-05,0.000134676000861926,3.25728002084659e-05,0.000134676000861926,0.000181656001162598,3.38256002164838e-05,9.64656006173798e-05,6.38928004089139e-05,8.20584005251738e-05,9.3960000601344e-05,4.57272002926541e-05,2.00448001282867e-05,8.14320005211648e-06,0.000141566400906025,4.94856003167078e-05,6.01344003848602e-05,3.1946400204457e-05,6.89040004409856e-05,2.19240001403136e-05,0,7.64208004890931e-05,8.14320005211648e-06,7.45416004770662e-05,3.69576002365286e-05,7.51680004810752e-06,1.19016000761702e-05,2.50560001603584e-05,6.38928004089139e-05,6.2640000400896e-07,1.5660000100224e-05,8.14320005211648e-06,3.82104002445466e-05,0.000152215200974177,3.63312002325197e-05,5.44968003487795e-05,6.45192004129229e-05,0.000129664800829855,4.25952002726093e-05
"Otu0870",1.87920001202688e-05,6.57720004209408e-05,3.1946400204457e-05,3.50784002245018e-05,1.00224000641434e-05,1.06488000681523e-05,0,0.000119642400765711,0.000110246400705577,2.56824001643674e-05,0.000201700801290885,4.38480002806272e-05,6.07608003888691e-05,3.44520002204928e-05,4.7606400304681e-05,9.77184006253978e-05,0.000115884000741658,8.08056005171558e-05,8.45640005412096e-05,1.87920001202688e-05,6.2640000400896e-07,3.25728002084659e-05,1.25280000801792e-06,1.75392001122509e-05,1.06488000681523e-05,5.63760003608064e-06,4.38480002806272e-06,6.2640000400896e-06,0.000136555200873953,3.44520002204928e-05,6.2640000400896e-06,1.12752000721613e-05,3.1946400204457e-05,2.12976001363046e-05,4.38480002806272e-05,6.2640000400896e-07,3.0693600196439e-05,2.50560001603584e-06,0.000157852801010258,7.95528005091379e-05,8.14320005211648e-06,1.87920001202688e-06,9.3960000601344e-06,5.76288003688243e-05,4.7606400304681e-05,3.1946400204457e-05,5.63760003608064e-06,2.81880001804032e-05,2.06712001322957e-05,6.2640000400896e-07,1.6286400104233e-05,3.00672001924301e-05,5.32440003407616e-05,3.1320000200448e-05,7.32888004690483e-05,2.06712001322957e-05,5.13648003287347e-05,4.38480002806272e-05,1.5033600096215e-05,2.00448001282867e-05,0.000115257600737649,6.89040004409856e-06,1.75392001122509e-05,2.00448001282867e-05,3.1320000200448e-06,7.32888004690483e-05,1.25280000801792e-06,6.2640000400896e-06,1.00224000641434e-05,4.38480002806272e-06,6.2640000400896e-06,2.75616001763942e-05,4.19688002686003e-05,3.38256002164838e-05,2.94408001884211e-05,4.38480002806272e-06,5.19912003327437e-05,0.000137808000881971,2.19240001403136e-05,3.57048002285107e-05,3.82104002445466e-05,7.51680004810752e-06,3.63312002325197e-05,3.00672001924301e-05,2.25504001443226e-05,7.26624004650394e-05,3.94632002525645e-05,7.830000050112e-05,3.57048002285107e-05,1.87920001202688e-05,0,2.75616001763942e-05,2.50560001603584e-06,1.37808000881971e-05,6.89040004409856e-06,6.70248004289587e-05,2.75616001763942e-05,1.25280000801792e-05,2.12976001363046e-05,1.87920001202688e-06,8.76960005612544e-06,8.14320005211648e-06,6.70248004289587e-05,2.56824001643674e-05,4.13424002645914e-05,4.6980000300672e-05,8.26848005291827e-05,2.56824001643674e-05,2.94408001884211e-05
"Otu0871",4.6353600296663e-05,0.000130291200833864,4.00896002565734e-05,0.000104608800669496,4.07160002605824e-05,6.2640000400896e-05,2.25504001443226e-05,0.000221745601419172,0.000177271201134536,2.88144001844122e-05,0.000211723201355028,7.45416004770662e-05,0.000179150401146563,0.000131544000841882,0.000124653600797783,0.000224877601439217,0.000103356000661478,5.13648003287347e-05,5.95080003808512e-05,7.20360004610304e-05,6.89040004409856e-06,6.63984004249498e-05,6.2640000400896e-06,4.44744002846362e-05,0.000233647201495342,0.000133423200853908,1.19016000761702e-05,1.87920001202688e-06,6.3266400404905e-05,0.000191052001222733,2.19240001403136e-05,6.70248004289587e-05,6.63984004249498e-05,7.26624004650394e-05,0.00012026880076972,5.63760003608064e-06,6.13872003928781e-05,5.44968003487795e-05,0.0002167344013871,5.44968003487795e-05,0.000206712001322957,4.25952002726093e-05,0.000166622401066383,5.01120003207168e-05,8.14320005211648e-05,0.000169128001082419,0.000164116801050348,2.00448001282867e-05,1.87920001202688e-05,6.89040004409856e-05,8.89488005692723e-05,6.70248004289587e-05,5.57496003567974e-05,2.88144001844122e-05,6.51456004169318e-05,1.5033600096215e-05,2.44296001563494e-05,3.38256002164838e-05,1.12752000721613e-05,1.69128001082419e-05,0.000136555200873953,1.31544000841882e-05,2.12976001363046e-05,3.57048002285107e-05,4.82328003086899e-05,5.76288003688243e-05,2.94408001884211e-05,1.87920001202688e-05,4.07160002605824e-05,9.77184006253978e-05,4.19688002686003e-05,7.45416004770662e-05,0.000151588800970168,5.19912003327437e-05,0.000106488000681523,9.4586400605353e-05,0.000104608800669496,8.20584005251738e-05,5.76288003688243e-05,4.25952002726093e-05,3.94632002525645e-05,4.00896002565734e-05,1.87920001202688e-05,2.31768001483315e-05,9.89712006334157e-05,5.51232003527885e-05,8.70696005572454e-05,3.94632002525645e-05,6.13872003928781e-05,2.12976001363046e-05,0,3.69576002365286e-05,1.94184001242778e-05,4.00896002565734e-05,7.07832004530125e-05,4.38480002806272e-05,2.06712001322957e-05,1.44072000922061e-05,6.38928004089139e-05,1.25280000801792e-06,1.94184001242778e-05,4.38480002806272e-06,0.000104608800669496,0.000197316001262822,3.25728002084659e-05,4.13424002645914e-05,6.89040004409856e-05,4.6980000300672e-05,0.000103982400665487
"Otu0872",1.19016000761702e-05,2.81880001804032e-05,8.14320005211648e-06,3.50784002245018e-05,3.25728002084659e-05,1.31544000841882e-05,2.19240001403136e-05,9.20808005893171e-05,4.6353600296663e-05,6.2640000400896e-06,8.01792005131469e-05,1.5033600096215e-05,2.88144001844122e-05,5.01120003207168e-06,2.88144001844122e-05,4.44744002846362e-05,4.32216002766182e-05,2.06712001322957e-05,3.00672001924301e-05,7.51680004810752e-06,6.2640000400896e-07,2.25504001443226e-05,3.1320000200448e-06,9.3960000601344e-06,3.25728002084659e-05,1.5660000100224e-05,8.14320005211648e-06,1.25280000801792e-05,1.19016000761702e-05,5.38704003447706e-05,5.63760003608064e-06,3.1320000200448e-06,1.37808000881971e-05,1.37808000881971e-05,4.07160002605824e-05,0,1.6286400104233e-05,4.38480002806272e-06,0.00012653280080981,2.12976001363046e-05,1.87920001202688e-06,6.2640000400896e-07,0.000139687200893998,1.12752000721613e-05,2.25504001443226e-05,7.51680004810752e-06,1.44072000922061e-05,2.00448001282867e-05,2.06712001322957e-05,3.57048002285107e-05,6.89040004409856e-06,5.01120003207168e-06,1.44072000922061e-05,1.6286400104233e-05,1.06488000681523e-05,1.12752000721613e-05,6.2640000400896e-06,7.51680004810752e-06,1.00224000641434e-05,3.1320000200448e-06,3.00672001924301e-05,1.00224000641434e-05,5.01120003207168e-06,2.63088001683763e-05,9.3960000601344e-06,2.06712001322957e-05,1.25280000801792e-06,1.87920001202688e-06,1.00224000641434e-05,1.5033600096215e-05,2.50560001603584e-06,1.44072000922061e-05,1.75392001122509e-05,1.31544000841882e-05,1.12752000721613e-05,1.31544000841882e-05,1.44072000922061e-05,7.01568004490035e-05,6.2640000400896e-07,6.89040004409856e-06,5.01120003207168e-06,2.50560001603584e-06,5.63760003608064e-06,1.12752000721613e-05,2.19240001403136e-05,4.32216002766182e-05,4.00896002565734e-05,2.56824001643674e-05,2.63088001683763e-05,0.000133423200853908,0,1.37808000881971e-05,7.51680004810752e-06,1.94184001242778e-05,1.00224000641434e-05,0.000127159200813819,4.38480002806272e-06,1.25280000801792e-05,1.12752000721613e-05,1.87920001202688e-06,1.81656001162598e-05,1.25280000801792e-06,3.00672001924301e-05,4.6980000300672e-05,2.06712001322957e-05,1.19016000761702e-05,2.06712001322957e-05,1.44072000922061e-05,6.07608003888691e-05
"Otu0873",3.63312002325197e-05,4.82328003086899e-05,5.32440003407616e-05,7.51680004810752e-05,8.14320005211648e-06,1.37808000881971e-05,6.2640000400896e-07,0.000295660801892229,0.000179776801150572,6.3266400404905e-05,0.000393379202517627,5.19912003327437e-05,0.000113378400725622,3.63312002325197e-05,9.27072005933261e-05,0.000155347200994222,0.000191052001222733,0.000131544000841882,9.58392006133709e-05,6.07608003888691e-05,6.2640000400896e-07,2.81880001804032e-05,2.50560001603584e-06,3.50784002245018e-05,2.69352001723853e-05,1.87920001202688e-05,6.2640000400896e-06,4.38480002806272e-06,0.000140313600898007,0.000133423200853908,1.00224000641434e-05,2.19240001403136e-05,6.01344003848602e-05,1.19016000761702e-05,0.000105235200673505,3.1320000200448e-06,4.6980000300672e-05,6.2640000400896e-07,0.000269978401727862,9.3333600597335e-05,6.2640000400896e-06,1.87920001202688e-06,1.81656001162598e-05,6.89040004409856e-05,9.20808005893171e-05,7.70472004931021e-05,2.12976001363046e-05,5.88816003768422e-05,3.1320000200448e-05,5.63760003608064e-06,2.88144001844122e-05,3.57048002285107e-05,0.00010836720069355,4.07160002605824e-05,0.000119016000761702,2.38032001523405e-05,6.63984004249498e-05,7.70472004931021e-05,2.25504001443226e-05,1.6286400104233e-05,0.000181029601158589,2.00448001282867e-05,3.88368002485555e-05,5.95080003808512e-05,1.25280000801792e-06,0.000134049600857917,6.2640000400896e-07,1.25280000801792e-05,2.06712001322957e-05,1.5660000100224e-05,6.89040004409856e-06,7.70472004931021e-05,5.07384003247258e-05,5.44968003487795e-05,7.07832004530125e-05,1.87920001202688e-06,5.51232003527885e-05,0.000285638401828086,3.75840002405376e-05,3.57048002285107e-05,1.75392001122509e-05,2.75616001763942e-05,5.70024003648154e-05,5.70024003648154e-05,4.6353600296663e-05,0.000135928800869944,7.7673600497111e-05,0.000117763200753684,4.00896002565734e-05,7.57944004850842e-05,6.2640000400896e-07,5.44968003487795e-05,5.63760003608064e-06,3.31992002124749e-05,3.57048002285107e-05,0.000100224000641434,4.25952002726093e-05,3.57048002285107e-05,3.38256002164838e-05,1.25280000801792e-06,3.25728002084659e-05,1.75392001122509e-05,0.000129664800829855,0.000113378400725622,7.32888004690483e-05,5.38704003447706e-05,7.7673600497111e-05,1.25280000801792e-05,6.38928004089139e-05
"Otu0874",3.88368002485555e-05,5.76288003688243e-05,8.20584005251738e-05,7.95528005091379e-05,5.57496003567974e-05,6.76512004329677e-05,1.44072000922061e-05,0.000137181600877962,0.000113378400725622,2.44296001563494e-05,0.000141566400906025,2.63088001683763e-05,4.51008002886451e-05,6.2640000400896e-05,0.000102729600657469,0.000235526401507369,9.89712006334157e-05,6.70248004289587e-05,6.89040004409856e-05,7.39152004730573e-05,6.2640000400896e-06,0.000173512801110482,6.2640000400896e-06,6.01344003848602e-05,0.000259329601659709,7.64208004890931e-05,2.19240001403136e-05,2.56824001643674e-05,3.88368002485555e-05,0.000147830400946115,8.70696005572454e-05,4.07160002605824e-05,3.82104002445466e-05,2.63088001683763e-05,0.00012653280080981,2.56824001643674e-05,5.32440003407616e-05,4.38480002806272e-06,0.000189799201214715,7.64208004890931e-05,8.14320005211648e-06,2.00448001282867e-05,6.2640000400896e-05,6.76512004329677e-05,0.000179776801150572,0.000119642400765711,0.000100224000641434,3.94632002525645e-05,4.82328003086899e-05,6.51456004169318e-05,3.94632002525645e-05,3.88368002485555e-05,6.89040004409856e-05,2.69352001723853e-05,0.000148456800950124,1.6286400104233e-05,9.3960000601344e-06,4.88592003126989e-05,7.51680004810752e-06,1.5033600096215e-05,7.20360004610304e-05,1.44072000922061e-05,4.94856003167078e-05,2.31768001483315e-05,5.51232003527885e-05,5.01120003207168e-05,1.6286400104233e-05,1.5660000100224e-05,3.1320000200448e-05,8.83224005652634e-05,7.57944004850842e-05,3.94632002525645e-05,8.70696005572454e-05,8.51904005452186e-05,4.6353600296663e-05,8.64432005532365e-05,4.32216002766182e-05,0.000145951200934088,4.00896002565734e-05,1.75392001122509e-05,4.51008002886451e-05,2.19240001403136e-05,3.38256002164838e-05,1.75392001122509e-05,0.000161611201034312,9.3333600597335e-05,0.000122774400785756,9.52128006093619e-05,5.19912003327437e-05,5.32440003407616e-05,1.25280000801792e-06,3.1320000200448e-05,2.31768001483315e-05,3.31992002124749e-05,3.75840002405376e-05,0.000151588800970168,2.88144001844122e-05,1.94184001242778e-05,3.75840002405376e-05,3.1320000200448e-06,2.88144001844122e-05,8.76960005612544e-06,5.57496003567974e-05,9.08280005812992e-05,4.51008002886451e-05,3.00672001924301e-05,7.26624004650394e-05,4.88592003126989e-05,9.89712006334157e-05
"Otu0875",1.94184001242778e-05,6.2013600396887e-05,1.81656001162598e-05,4.94856003167078e-05,1.12752000721613e-05,1.31544000841882e-05,2.50560001603584e-06,0.000129038400825846,0.000127785600817828,5.63760003608064e-05,0.000269352001723853,1.44072000922061e-05,6.57720004209408e-05,2.50560001603584e-05,0.000111499200713595,8.33112005331917e-05,8.45640005412096e-05,3.50784002245018e-05,8.76960005612544e-05,0.000149709600958141,3.75840002405376e-06,0.000265593601699799,1.25280000801792e-06,3.31992002124749e-05,3.75840002405376e-06,6.2640000400896e-06,1.75392001122509e-05,2.12976001363046e-05,0.000159105601018276,0.00010836720069355,2.44296001563494e-05,3.75840002405376e-06,2.69352001723853e-05,2.88144001844122e-05,5.70024003648154e-05,0,2.63088001683763e-05,3.1320000200448e-06,0.000129664800829855,5.26176003367526e-05,0,3.75840002405376e-06,1.44072000922061e-05,3.0693600196439e-05,8.70696005572454e-05,4.51008002886451e-05,1.94184001242778e-05,2.56824001643674e-05,2.56824001643674e-05,1.12752000721613e-05,2.88144001844122e-05,3.31992002124749e-05,6.13872003928781e-05,1.25280000801792e-05,4.38480002806272e-05,2.06712001322957e-05,1.6286400104233e-05,3.31992002124749e-05,1.19016000761702e-05,2.50560001603584e-05,7.830000050112e-05,5.01120003207168e-06,4.25952002726093e-05,4.38480002806272e-05,6.89040004409856e-06,4.82328003086899e-05,1.25280000801792e-06,9.3960000601344e-06,1.5660000100224e-05,7.51680004810752e-06,3.94632002525645e-05,4.25952002726093e-05,2.56824001643674e-05,7.57944004850842e-05,2.63088001683763e-05,2.75616001763942e-05,2.50560001603584e-05,0.000159732001022285,1.31544000841882e-05,2.00448001282867e-05,2.00448001282867e-05,1.81656001162598e-05,6.82776004369766e-05,2.38032001523405e-05,4.44744002846362e-05,9.14544005853082e-05,9.14544005853082e-05,5.26176003367526e-05,1.5033600096215e-05,4.32216002766182e-05,0,2.12976001363046e-05,6.2640000400896e-07,2.00448001282867e-05,1.44072000922061e-05,4.88592003126989e-05,1.87920001202688e-05,1.37808000881971e-05,3.1946400204457e-05,6.2640000400896e-07,5.63760003608064e-06,1.19016000761702e-05,4.32216002766182e-05,8.95752005732813e-05,5.01120003207168e-05,2.19240001403136e-05,2.81880001804032e-05,1.6286400104233e-05,3.75840002405376e-05
"Otu0876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2640000400896e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0877",3.75840002405376e-06,1.25280000801792e-06,4.38480002806272e-06,2.50560001603584e-06,5.63760003608064e-06,6.2640000400896e-07,0,3.1320000200448e-06,1.25280000801792e-06,0,6.2640000400896e-06,6.2640000400896e-07,1.94184001242778e-05,0,3.75840002405376e-06,1.12752000721613e-05,4.38480002806272e-06,4.38480002806272e-06,8.76960005612544e-06,2.50560001603584e-06,0,6.2640000400896e-07,6.2640000400896e-07,0,1.87920001202688e-06,1.5660000100224e-05,1.25280000801792e-06,0,1.87920001202688e-06,4.00896002565734e-05,3.75840002405376e-06,6.2640000400896e-07,2.56824001643674e-05,0,2.50560001603584e-05,6.2640000400896e-07,6.2640000400896e-07,0,2.50560001603584e-05,4.38480002806272e-06,0,0,1.81656001162598e-05,6.2640000400896e-07,9.3960000601344e-06,1.25280000801792e-06,0,1.25280000801792e-06,0,1.87920001202688e-06,6.2640000400896e-07,0,2.50560001603584e-06,6.2640000400896e-07,0,0,0,1.87920001202688e-06,0,0,6.89040004409856e-06,0,1.06488000681523e-05,6.2640000400896e-07,1.87920001202688e-06,1.00224000641434e-05,1.25280000801792e-06,3.75840002405376e-06,3.1320000200448e-06,5.01120003207168e-06,0,4.38480002806272e-06,6.2640000400896e-07,2.50560001603584e-06,0,0,1.25280000801792e-06,3.75840002405376e-06,0,3.1320000200448e-06,0,3.75840002405376e-06,3.75840002405376e-06,3.75840002405376e-06,1.25280000801792e-05,6.2640000400896e-07,4.38480002806272e-06,6.2640000400896e-07,0,0,0,0,1.25280000801792e-06,0,5.63760003608064e-06,0,1.25280000801792e-06,0,6.2640000400896e-07,0,3.75840002405376e-06,1.25280000801792e-06,1.19016000761702e-05,2.50560001603584e-06,5.01120003207168e-06,1.25280000801792e-06,1.25280000801792e-06,1.25280000801792e-06,1.25280000801792e-05
